,project,class
0,101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.DirEntry
1,102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.HtmlViewerPanel
2,102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.db.DriverInternalFrame
3,102_squirrel-sql,net.sourceforge.squirrel_sql.client.mainframe.action.ToggleTreeViewAction
4,102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.mainpanel.objecttree.ObjectTreeCellRenderer
5,102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.parser.kernel.Parser
6,102_squirrel-sql,net.sourceforge.squirrel_sql.client.update.gui.installer.PreLaunchHelperImpl
7,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.PhotoController
8,103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController
9,104_vuze,com.aelitis.azureus.core.dht.router.impl.DHTRouterNodeImpl
10,104_vuze,com.aelitis.azureus.core.instancemanager.impl.AZOtherInstanceImpl
11,104_vuze,com.aelitis.azureus.core.metasearch.impl.ExternalLoginWindow
12,104_vuze,com.aelitis.azureus.core.nat.NATTraverser
13,104_vuze,com.aelitis.azureus.core.peermanager.messaging.azureus.AZMessageDecoder
14,104_vuze,org.bouncycastle.asn1.pkcs.CertificationRequestInfo
15,104_vuze,org.bouncycastle.crypto.params.ElGamalKeyParameters
16,104_vuze,org.gudy.azureus2.core3.disk.impl.resume.RDResumeHandler
17,104_vuze,org.gudy.azureus2.pluginsimpl.local.clientid.ClientIDManagerImpl
18,104_vuze,org.gudy.azureus2.ui.console.commands.Show
19,104_vuze,org.gudy.azureus2.ui.console.commands.XML
20,104_vuze,org.gudy.azureus2.ui.swt.mainwindow.MainMenu
21,104_vuze,org.gudy.azureus2.ui.swt.views.TorrentOptionsView
22,104_vuze,org.gudy.azureus2.ui.swt.views.tableitems.files.FileHashItemBase
23,104_vuze,org.gudy.azureus2.ui.swt.views.tableitems.mytracker.AnnounceCountItem
24,104_vuze,org.gudy.azureus2.ui.swt.views.tableitems.tracker.PeersItem
25,104_vuze,org.gudy.azureus2.ui.swt.welcome.WelcomeWindow
26,105_freemind,accessories.plugins.NewParentNode
27,105_freemind,freemind.controller.printpreview.PreviewDialog
28,105_freemind,freemind.modes.filemode.FileNodeModel
29,106_checkstyle,com.atlassw.tools.eclipse.checkstyle.config.Module
30,107_weka,weka.associations.ItemSet
31,107_weka,weka.core.Version
32,107_weka,weka.core.tokenizers.AlphabeticTokenizer
33,107_weka,weka.gui.beans.SubstringLabeler
34,108_liferay,com.liferay.portal.deploy.hot.HookHotDeployListener
35,108_liferay,com.liferay.portal.executor.PortalExecutorFactoryImpl
36,108_liferay,com.liferay.portal.kernel.cluster.ClusterExecutorUtil
37,108_liferay,com.liferay.portal.kernel.messaging.proxy.ProxyMessageListener
38,108_liferay,com.liferay.portal.kernel.notifications.NotificationEventComparator
39,108_liferay,com.liferay.portal.kernel.scheduler.CronText
40,108_liferay,com.liferay.portal.lar.PortletImporter
41,108_liferay,com.liferay.portal.model.impl.OrganizationModelImpl
42,108_liferay,com.liferay.portal.module.framework.LogBridge
43,108_liferay,com.liferay.portal.security.pacl.checker.PortalHookChecker
44,108_liferay,com.liferay.portal.service.persistence.TeamFinderImpl
45,108_liferay,com.liferay.portal.spring.context.ArrayApplicationContext
46,108_liferay,com.liferay.portlet.calendar.model.impl.CalEventModelImpl
47,108_liferay,com.liferay.portlet.documentlibrary.model.impl.DLFileEntryModelImpl
48,108_liferay,com.liferay.portlet.documentlibrary.util.PDFProcessorImpl
49,108_liferay,com.liferay.portlet.documentlibrary.util.comparator.RepositoryModelCreateDateComparator
50,108_liferay,com.liferay.portlet.polls.model.impl.PollsChoiceModelImpl
51,108_liferay,com.liferay.portlet.shopping.model.ShoppingCategoryWrapper
52,108_liferay,com.liferay.taglib.portlet.DefineObjectsTag
53,108_liferay,com.liferay.taglib.portletext.IconMinimizeTag
54,108_liferay,com.liferay.util.PwdGenerator
55,108_liferay,com.liferay.util.axis.AxisServlet
56,109_pdfsam,org.pdfsam.guiclient.commons.dnd.droppers.AbstractDropper
57,110_firebird,org.firebirdsql.gds.impl.wire.isc_stmt_handle_impl
58,13_jdbacl,org.databene.jdbacl.SQLUtil
59,16_templatedetails,com.rakegroup.JoomlaOutput
60,18_jsecurity,org.jsecurity.web.attr.CookieAttribute
61,19_jmca,com.soops.CEN4010.JMCA.JParser.TestJava
62,22_byuic,com.yahoo.platform.yui.compressor.ScriptOrFnScope
63,23_jwbf,net.sourceforge.jwbf.trac.actions.GetRevision
64,27_gangup,MapTilePane
65,2_a4j,net.kencochrane.a4j.beans.BrowseNode
66,35_corina,corina.gui.ElementsPanel
67,39_diffi,de.beiri22.stringincrementor.helper.IndexedString
68,43_lilith,de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumer
69,43_lilith,de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufDecoder
70,43_lilith,de.huxhorn.lilith.engine.AccessFileBufferFactory
71,43_lilith,de.huxhorn.lilith.swing.OpenPreviousDialog
72,44_summa,dk.statsbiblioteket.summa.common.rpc.ConnectionConsumer
73,46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.action.DetailzieleAction
74,47_dvd-homevideo,Capture
75,56_jhandballmoves,visu.handball.moves.views.Field
76,61_noen,fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator
77,61_noen,fi.vtt.noen.testgen.observations.formatter.NoenFormatter
78,66_openjms,org.exolab.jms.selector.parser.SelectorLexer
79,66_openjms,org.exolab.jms.tools.admin.AdminInfo
80,66_openjms,org.exolab.jms.tranlog.ExternalXid
81,68_biblestudy,bible.util.DbConnectionBroker
82,69_lhamacaw,macaw.presentationLayer.MacawStateEditor
83,69_lhamacaw,macaw.presentationLayer.VariableLabelTableModel
84,75_openhre,com.browsersoft.openhre.hl7.impl.parser.HL7CheckerImpl
85,78_caloriecount,com.lts.caloriecount.ui.entry.EntryListView
86,78_caloriecount,com.lts.swing.contentpanel.CPMouseListener
87,78_caloriecount,com.lts.swing.table.JTableUtils
88,78_caloriecount,com.lts.util.scheduler.NewScheduler
89,7_sfmis,com.hf.sfm.util.DaoFactory
90,80_wheelwebtool,wheel.EngineImpl
91,80_wheelwebtool,wheel.util.ActionRegistry
92,84_ifx-framework,org.sourceforge.ifx.basetypes.IFXObject
93,88_jopenchart,de.progra.charting.render.PieChartRenderer
94,92_jcvi-javacommon,org.jcvi.jillion.assembly.consed.ace.DefaultAceAssembledRead
95,92_jcvi-javacommon,org.jcvi.jillion.core.residue.nt.DefaultNucleotideSequence
96,92_jcvi-javacommon,org.jcvi.jillion.fasta.pos.PositionFastaRecord
97,93_quickserver,org.quickserver.util.xmlreader.AccessConstraintConfig
98,96_heal,org.heal.module.metadata.CompleteMetadataBean
99,99_newzgrabber,Newzgrabber.Search
